City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
544,Rosetta,EG,49.82,31.4044,30.4164,Green Valley
545,Bordighera,IT,50.14,43.7806,7.6645,Albergo Villa Elisa
547,Ninghai,CN,51.73,29.2892,121.4247,Kaiyuan New Century Hotel
554,Praia da Vitória,PT,56.75,38.7333,-27.0667,Hotel Branco I
557,Camacha,PT,57.96,33.0833,-16.3333,Hotel Porto Santo & Spa
558,Houston,US,41.0,29.7633,-95.3633,"Hotel ICON, Autograph Collection"
561,Peniche,PT,58.48,39.3558,-9.3811,Hotel Star inn Peniche
570,Shingū,JP,47.39,33.7333,135.9833,Shingu UI Hotel
584,Barkhan,PK,52.5,29.8977,69.5256,Sardar
587,Vila,PT,43.34,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
591,Yicheng,CN,44.13,31.3705,119.8703,GreenTree Alliance Wuxi Yixing Jinyizhong Road Chengbei RT-Market Hotel
593,Puerto Palomas,MX,43.93,31.7667,-107.6167,Hotel San Carlos
595,Mahon,ES,46.96,39.8885,4.2658,ARTIEM Capri
599,Dromolaxia,CY,54.99,34.8761,33.586,Sea N Lake View Hotel Apartments
609,Hillsborough,US,52.2,37.5741,-122.3794,Hyatt Regency San Francisco Airport
612,Loudi,CN,46.4,27.7344,111.9944,Till Bright Hotel
617,Seara,PT,53.71,41.1818,-7.8003,Six Senses Douro Valley
618,Northallerton,GB,40.12,54.339,-1.4324,The Golden Lion Hotel
619,Neo Monastiri,GR,43.02,39.2333,22.25,
626,Eqbālīyeh,IR,57.02,35.3022,51.5358,باغ ویلا طاهری
656,Khuzdar,PK,55.54,27.7384,66.6434,jhalwan Rent A Car Compny Moola Chotok
662,Timizart,DZ,53.24,36.8,4.2667,yefssah restaurant
664,Sāveh,IR,51.8,35.0213,50.3566,Sadra
668,Wanning,CN,59.59,18.8003,110.3967,Paradise Hotel
670,Bereda,ES,46.99,43.2686,-7.5406,Pazo de Verdes
687,Aswān,EG,54.7,24.0934,32.907,Nuba Nile
689,Wakefield,GB,42.58,53.6809,-1.499,Hotel Restaurant Campanile Wakefield
691,Mutoko,ZW,59.7,-17.397,32.2268,Mutoko Hotel
693,Rabo de Peixe,PT,57.27,37.8,-25.5833,Quinta das Giestas
